name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
ZMS The Academy,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Los Angeles, CA",Less than 2-year • Career and Technical,$17K,"$17,035",Not available,Not available,"2228 E Cesar E Chavez Ave, Los Angeles, CA 90033",Phone number not available,zmsacademy.com,https://www.zmsacademy.com/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,25:1,2%,Not available,Not available,Not available,Urban,5
Zane State College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1216_Logo.gif&w=3840&q=75,"Zanesville, OH",4-year • Public,$8K,"$7,609",Not available,Not available,"1555 Newark Rd, Zanesville, OH 43701",Phone number not available,zanestate.edu,https://zanestatecollege.my.site.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,Not available,August 8,Not available*,Not available*,Not available,Not available,Not available,15:1,Not available,August 21,Not available,Not available,Suburban,47
YTI Career Institute: York,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3602_Logo.gif&w=3840&q=75,"York, PA",2-year • Private,$14K,"$14,163",Not available,Not available,"1405 Williams Rd, York, PA 17402",Phone number not available,yti.edu,https://yti.edu/apply-online,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,9:1,88%,Not available,Not available,Not available,Suburban,16
YTI Career Institute: Lancaster,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F214490_Logo.gif&w=3840&q=75,"Lancaster, PA",2-year • For-profit,Not available,Not available,Not available,Not available,"3050 Hempland Rd, Lancaster, PA 17601",Phone number not available,yti.edu,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
YTI Career Institute: Altoona,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F266951_Logo.gif&w=3840&q=75,"Altoona, PA",2-year • For-profit,$18K,"$17,712",Not available,Not available,"2900 Fairway Dr, Altoona, PA 16602",Phone number not available,yti.edu,http://admissions.yti.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,100%,Not available,Not available,Not available,Urban,1
Youngstown State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3790_Logo.gif&w=3840&q=75,"Youngstown, OH",4-year • Public,$12K,"$11,900","$10,513",48%,"1 University Plz, Youngstown, OH 44555",,ysu.edu,https://ysu.edu/admissions/apply-to-ysu,78%,August 1,940–1160*,18–24*,Required,Neither required nor recommended,Considered if submitted,20:1,78%,Not available,"$10,920","7,802",Medium • Urban,152
Young Harris College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F394_Logo.gif&w=3840&q=75,"Young Harris, GA",4-year • Private,$19K,"$18,910","$26,376",49%,"1 College St, Young Harris, GA 30582",,yhc.edu,https://discover.yhc.edu/applynow/inquiryform,64%,Not available,1030–1150*,15–24*,Required,Neither required nor recommended,Considered if submitted,9:1,67%,Not available,"$11,300",810,Small • Rural,29
York University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2145_Logo.gif&w=3840&q=75,"York, NE",4-year • Private,$18K,"$17,835",Not available,37%,"1125 E 8th St, York, NE 68467",,york.edu,https://yorkuniversityneb.my.site.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,57%,Not available,900–1010*,16–22*,Required,Required,Required,12:1,64%,Not available,"$9,500",422,Small • Rural,28
York University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F205822_Logo.gif&w=3840&q=75,"North York, Canada",International,Not available,Not available,Not available,Not available,"Bennett Centre for Student Services, North York, Canada M3J 1P3",Phone number not available,yorku.ca,,Not available,Not available,Not available*,Not available*,Required,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
York Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2280_Logo.gif&w=3840&q=75,"Rock Hill, SC",2-year • Public,$5K,"$4,676",Not available,Not available,"452 Anderson Rd S, Rock Hill, SC 29730",Phone number not available,yorktech.edu,https://www.yorktech.edu/apply,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,62%,Not available,Not available,Not available,Suburban,57
York County Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4407_Logo.gif&w=3840&q=75,"Wells, ME",2-year • Public,$7K,"$7,271","$6,081",Not available,"112 College Dr, Wells, ME 04090",,yccc.edu,https://my.yccc.edu/ICS/Admissions/Admissions_homepage.jnz?portlet=EX_FormFlow_-_Forms&screen=FormView&screenType=change&form=922952bf-8a94-4892-9da4-fb5cbfae3e4b,76%,Not available,Not available*,Not available*,Not available,Not available,Not available,21:1,47%,Not available,"$12,309","1,055",Small • Rural,25
York College of Pennsylvania,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3179_Logo.gif&w=3840&q=75,"York, PA",4-year • Private,$21K,"$20,916","$22,275",64%,"441 Country Club Rd, York, PA 17403",,ycp.edu,https://www.ycp.edu/admissions/apply/,94%,August 23,1030–1220*,22–28*,Required,Neither required nor recommended,Considered if submitted,13:1,77%,August 1,"$13,560","3,187",Medium • Suburban,97
Yonsei University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F213544_Logo.gif&w=3840&q=75,"Seoul, Korea, South (ROK)",4-year • International,Not available,Not available,Not available,Not available,"50 Yonsei-ro Seodaemun-gu, Seoul, Korea, South (ROK) 3722",,http://iadmission.yonsei.ac.kr/admission_en/index.do,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Yo San University Of Traditional Chinese Medicine,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Los Angeles, CA",4-year • Private,Not available,Not available,Not available,Not available,"13315 W Washington Blvd, Los Angeles, CA 90066",Phone number not available,yosan.edu/admissions-information-acupuncture-degree-los-angeles,https://www.yosan.edu/admissions-information-acupuncture-degree-los-angeles/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,2
Yeshivat Hechal Shemuel,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brooklyn, NY",4-year • Private,$10K,"$9,715",Not available,100%,"1532 E 10th St, Brooklyn, NY 11230",Phone number not available,hechalshemuel.com,,100%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,20:1,67%,Not available,Not available,Not available,Urban,1
Yeshivas Novominsk,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4786_Logo.gif&w=3840&q=75,"Brooklyn, NY",4-year • Private,Not available,Not available,Not available,Not available,"1690 60th Street, Brooklyn, NY 11204-2138",Phone number not available,yeshivasnovominsk.com,,78%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,25:1,90%,Not available,"$3,700",Not available,Urban,1
Yeshivas Novominsk,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brooklyn, NY",4-year • Private,$12K,"$11,919",Not available,Not available,"1690 60th St, Brooklyn, NY 11204",Phone number not available,yeshivasnovominsk.com,,78%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,25:1,90%,Not available,"$3,700",Not available,Urban,Not available
Yeshivas Maharit DSatmar,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Monroe, NY",4-year • Private,$12K,"$12,333",Not available,46%,"475 County Route 105, Monroe, NY 10950",Phone number not available,yeshivasmaharit.com,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,83%,Not available,"$3,920",Not available,Suburban,Not available
Yeshiva Zichron Aryeh,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Far Rockaway, NY",4-year • Private,Not available,Not available,Not available,Not available,"1213 Bay 25th St, Far Rockaway, NY 11691",Phone number not available,yeshivazichronaryeh.com,,33%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,3:1,50%,Not available,"$6,250",Not available,Urban,1
Yeshiva Yesodei Hatorah,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$14K,"$13,554",Not available,5%,"2 Yesodei Ct, Lakewood, NJ 08701",Phone number not available,yeshivayesodeihatorahlakewood.com,,93%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Not available,8:1,81%,Not available,"$2,800",Not available,Suburban,1
Yeshiva Yesoda Hatorah,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brooklyn, NY",4-year • Private,$8K,"$8,264",Not available,22%,"505 Bedford Ave, Brooklyn, NY 11211",Phone number not available,yeshivayh.org,https://www.yeshivayh.org/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,15:1,97%,Not available,"$3,800",Not available,Urban,1
Yeshiva University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3178_Logo.gif&w=3840&q=75,"New York, NY",4-year • Private,$36K,"$35,912","$49,402",85%,"500 W 185th St, New York, NY 10033",,yu.edu,https://yu.elluciancrmrecruit.com/Apply/Account/Login?ReturnUrl=/Apply/,63%,February 1,1330–1470*,28–33*,Required,Neither required nor recommended,Recommended,7:1,93%,February 1,"$15,750","2,183",Small • Urban,65
Yeshiva Sholom Shachna,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brooklyn, NY",4-year • Private,$6K,"$5,621",Not available,38%,"401 Elmwood Ave, Brooklyn, NY 11230",Phone number not available,yeshivasholomshachna.com,,100%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Not available,21:1,50%,Not available,"$4,700",Not available,Urban,1
Yeshiva Ohr Zechariah,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$7K,"$7,035",Not available,6%,"199 Joe Parker Rd, Lakewood, NJ 08701",Phone number not available,yeshivaohrzechariah.com,,83%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,14:1,53%,Not available,"$1,500",Not available,Suburban,1
Yeshiva Of The Telshe Alumni,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Bronx, NY",4-year • Private,Not available,Not available,Not available,Not available,"4904 Independence Ave, Bronx, NY 10471",Phone number not available,yeshivatelshealumni.com,,Not available,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,15:1,Not available,Not available,"$6,000",Not available,Urban,Not available
Yeshiva of the Telshe Alumni,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4785_Logo.gif&w=3840&q=75,"Riverdale, NY",4-year • Private,Not available,Not available,Not available,Not available,"4904 Independence Ave, Riverdale, NY 10471-2897",Phone number not available,yeshivatelshealumni.com,,Not available,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,15:1,Not available,Not available,"$6,000",Not available,Urban,1
Yeshiva Kollel Tifereth Elizer,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brooklyn, NY",4-year • Private,$8K,"$7,778",Not available,17%,"1227 47th St, Brooklyn, NY 11219",Phone number not available,,,,,,,Considered but not required,Neither required nor recommended,Not available,24:1,85%,Not available,"$4,600",Not available,Urban,1
Yeshiva Gedolah Zichron Leyma,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Union, NJ",4-year • Private,$6K,"$6,374",Not available,Not available,"2035 Vauxhall Rd, Union, NJ 07083",Phone number not available,yzl.edu,,49%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,8:1,88%,Not available,"$2,200",Not available,Suburban,1
Yeshiva Gedolah Tiferes Boruch,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"North Plainfield, NJ",4-year • Private,$6K,"$5,737",Not available,15%,"21 Rockview Ave, North Plainfield, NJ 07060",Phone number not available,,,,,,,Considered but not required,Neither required nor recommended,Not available,17:1,74%,Not available,"$1,450",Not available,Suburban,1
Yeshiva Gedolah Shaarei Shmuel,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$6K,"$6,440",Not available,26%,"511 Ocean Ave, Lakewood, NJ 08701",Phone number not available,yeshivagedolahshaareishmuel.com,,46%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,25:1,77%,Not available,"$2,100",Not available,Urban,1
Yeshiva Gedolah Kesser Torah,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Monsey, NY",4-year • Private,$10K,"$9,627",Not available,42%,"50 Cedar Ln, Monsey, NY 10952",Phone number not available,yeshivagedolahkessertorah.com,,52%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,20:1,88%,Not available,"$4,000",Not available,Suburban,1
Yeshiva Gedolah Keren Hatorah,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$4K,"$3,988",Not available,Not available,"1083 Brook Rd, Lakewood, NJ 08701",Phone number not available,,,,,,,Considered but not required,Neither required nor recommended,Not available,31:1,93%,Not available,"$1,500",Not available,Urban,1
Yeshiva Gedola Tiferes Yerachmiel,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$6K,"$6,089",Not available,5%,"911 Somerset Ave, Lakewood, NJ 08701",Phone number not available,yeshivagedolatiferesyerachmiel.com,,29%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,22:1,92%,Not available,"$1,350",Not available,Urban,1
Yeshiva Gedola Tiferes Yaakov Yitzchok,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$11K,"$10,839",Not available,14%,"65 Cross St, Lakewood, NJ 08701",Phone number not available,yeshivatyy.com,,63%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,11:1,54%,Not available,"$2,200",Not available,Suburban,1
Yeshiva Chemdas Hatorah,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$8K,"$8,015",Not available,Not available,"950 Massachusetts Ave, Lakewood, NJ 08701",Phone number not available,yeshivachemdashatorah.com,,56%,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,14:1,84%,Not available,"$3,680",Not available,Suburban,1
Yeshiva Bais Aharon,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lakewood, NJ",4-year • Private,$7K,"$6,534",Not available,57%,"905 Park Ave, Lakewood, NJ 08701",Phone number not available,,,,,,,Considered but not required,Neither required nor recommended,Not available,3:1,64%,Not available,"$2,400",Not available,Urban,1
Yeshiva Aleksander,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brooklyn, NY",4-year • Private,$10K,"$10,048",Not available,14%,"1535 63rd St, Brooklyn, NY 11219",Phone number not available,,,,,,,Not available,Not available,Not available,18:1,94%,Not available,"$6,000",Not available,Urban,1
Yeditepe University,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Istanbul, Turkey",4-year • International,Not available,Not available,Not available,Not available,"26 Agustos Yerlesimi Kayisdagi Caddesi, Istanbul, Turkey 34755",Phone number not available,yeditepe.edu.tr,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Yavapai College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2712_Logo.gif&w=3840&q=75,"Prescott, AZ",2-year • Public,$7K,"$7,217",Not available,Not available,"1100 E Sheldon St Bldg 6910, Prescott, AZ 86301",Phone number not available,yc.edu,https://prodssb1.yc.edu/MYSSB/pkgyc_aa.p_start,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,64%,Not available,"$11,180",Not available,Rural,70
Yamanashi Gakuin University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F283591_Logo.gif&w=3840&q=75,"Kofu, Japan",4-year • Private,Not available,Not available,Not available,Not available,"2-4-5 Sakaori, Kofu, Japan 400",Phone number not available,icla.ygu.ac.jp/en,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Yale-NUS College,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Singapore, Singapore",4-year • International,Not available,Not available,Not available,Not available,"16 College Avenue West #01-220, Singapore, Singapore 138527",Phone number not available,yale-nus.edu.sg,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Yale University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4123_Logo.gif&w=3840&q=75,"New Haven, CT",4-year • Private,$19K,"$18,647","$70,295",98%,"New Haven, New Haven, CT 06520",,yale.edu,https://admissions.yale.edu/instructions,5%,January 2,1500–1560*,33–35*,Required,Required,Considered if submitted,6:1,99%,Not available,"$19,180","6,811",Medium • Urban,129
Yakima Valley College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F702_Logo.gif&w=3840&q=75,"Yakima, WA",4-year • Public,$10K,"$10,036",Not available,Not available,"S16th Ave & Nob Hill Blvd, Yakima, WA 98902",Phone number not available,yvcc.edu,https://app.smartsheet.com/b/form/898e6591d8d04695b6023e2e458e7086,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,15:1,Not available,Not available,"$8,484",Not available,Urban,64
Xenon International Academy Omaha,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Omaha, NE",Career and Technical,$12K,"$11,762",Not available,Not available,"8516 Park Dr, Omaha, NE 68127",Phone number not available,xenonacademy.net,https://www.xenonacademy.net/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,15:1,80%,Not available,Not available,Not available,Urban,4
Xavier University of Louisiana,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2468_Logo.gif&w=3840&q=75,"New Orleans, LA",4-year • Private,$18K,"$18,080","$14,306",48%,"1 Drexel Dr, New Orleans, LA 70125",,xula.edu,https://www.xula.edu/applylandingpage.html,69%,July 1,930–1130*,19–24*,Recommended,Recommended,Considered if submitted,11:1,71%,January 1,"$10,439","2,624",Small • Urban,69
Xavier University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3788_Logo.gif&w=3840&q=75,"Cincinnati, OH",4-year • Private,$32K,"$31,619","$32,008",74%,"3800 Victory Parkway, Cincinnati, OH 45207",,xavier.edu,https://www.xavier.edu/apply/,88%,Not available,1120–1300*,22–29*,Required,Considered but not required,Considered if submitted,11:1,83%,February 15,"$13,820","4,729",Medium • Urban,111
Wytheville Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2151_Logo.gif&w=3840&q=75,"Wytheville, VA",2-year • Public,$6K,"$5,839",Not available,Not available,"1000 E Main St, Wytheville, VA 24382",Phone number not available,wcc.vccs.edu,https://www.apply.vccs.edu/applications/vccs/apply.html?application_id=4099,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,23:1,64%,Not available,Not available,Not available,Rural,34
Writtle University College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F295308_Logo.gif&w=3840&q=75,"Chelmsford, United Kingdom",4-year • Public,Not available,Not available,Not available,Not available,"Lordship Road, Writtle, Chelmsford, United Kingdom CM1 3RR",Phone number not available,writtle.ac.uk,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Rural,Not available
Wright State University: Lake Campus,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1665_Logo.gif&w=3840&q=75,"Celina, OH",4-year • Public,$12K,"$11,585","$9,539",40%,"7600 Lake Campus Dr, Celina, OH 45822",,http://lake.wright.edu,https://go.wright.edu/account/register?r=https://go.wright.edu/portal/ug_app,100%,August 23,790–1200*,17–23*,Required,Neither required nor recommended,Considered if submitted,13:1,65%,February 15,"$5,718",984,Small • Rural,27
Wright State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3049_Logo.gif&w=3840&q=75,"Dayton, OH",4-year • Public,$16K,"$15,650","$13,709",44%,"3640 Colonel Glenn Hwy, Dayton, OH 45435",,wright.edu,https://go.wright.edu/account/register?r=https://go.wright.edu/portal/ug_app,94%,August 23,910–1245*,17–25*,Required,Neither required nor recommended,Considered if submitted,14:1,63%,Not available,"$10,240","6,330",Medium • Suburban,153
World University Of Design,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F327146_Logo.gif&w=3840&q=75,"Rai, India",International,Not available,Not available,Not available,Not available,"Plot No 1, Rajiv Gandhi Education City, Rai, India 131029",,http://worlduniversityofdesign.ac.in,,Not available,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Considered if submitted,Not available,Not available,Not available,Not available,Not available,Urban,Not available
World Mission University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4633_Logo.gif&w=3840&q=75,"Los Angeles, CA",4-year • Private,$19K,"$18,973",Not available,33%,"500 Shatto Place, Los Angeles, CA 90020",Phone number not available,wmu.edu,https://wmu.edu/applicationforms/,Not available,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,29:1,100%,Not available,Not available,Not available,Urban,13
Worcester State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F847_Logo.gif&w=3840&q=75,"Worcester, MA",4-year • Public,$14K,"$14,435","$10,712",59%,"486 Chandler St, Worcester, MA 01602",,worcester.edu,https://worcester.edu/apply/,90%,May 1,1040–1217*,23–29*,Required,Neither required nor recommended,Considered if submitted,15:1,77%,May 1,"$13,615","3,963",Medium • Urban,73
Worcester Polytechnic Institute,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4120_Logo.gif&w=3840&q=75,"Worcester, MA",4-year • Private,$47K,"$46,876","$37,275",89%,"100 Institute Rd, Worcester, MA 01609",,wpi.edu,https://www.wpi.edu/admissions/undergraduate/apply,58%,February 1,Not available*,Not available*,Required,Recommended,Neither required nor recommended,13:1,94%,Not available,"$17,906","5,344",Medium • Suburban,63
Wor-Wic Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F137_Logo.gif&w=3840&q=75,"Salisbury, MD",2-year • Public,$9K,"$8,568",Not available,Not available,"32000 Campus Dr, Salisbury, MD 21804",,worwic.edu/Apply-Register,https://worwic.elluciancrmrecruit.com/Apply/Account/Login,100%,Not available,Not available*,Not available*,Neither required nor recommended,Not available,Neither required nor recommended,13:1,54%,Not available,Not available,"2,048",Small • Rural,26
Woodruff Medical And Wellness Training,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Tucker, GA",Less than 2-year • Career and Technical,$19K,"$19,041",Not available,Not available,"1927 Lakeside Pkwy, Tucker, GA 30084",Phone number not available,woodruffmedical.edu/admissions,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,15:1,79%,Not available,Not available,Not available,Suburban,3
Woodland Community College,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Woodland, CA",2-year • Public,$7K,"$6,687",Not available,Not available,"2300 E Gibson Rd, Woodland, CA 95776",,http://wcc.yccd.edu,https://wcc.yccd.edu/admissions/apply-today/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,72%,Not available,Not available,Not available,Suburban,46
Woodbury University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3454_Logo.gif&w=3840&q=75,"Burbank, CA",4-year • Private,$32K,"$32,182","$33,866",55%,"7500 N Glenoaks Blvd, Burbank, CA 91504",,woodbury.edu,https://woodbury.edu/admissions/undergraduate-admission/how-to-apply/,63%,Not available,Not available*,Not available*,Required,Neither required nor recommended,Considered if submitted,8:1,71%,Not available,"$14,512",868,Small • Suburban,35
Wood County School Of Practical Nursing,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Parkersburg, WV",Less than 2-year • Career and Technical,Not available,Not available,Not available,Not available,"1515 Blizzard Dr, Parkersburg, WV 26101",Phone number not available,woodcountyschoolswv.com/o/wctc/page/practical-nursing,https://www.woodcountyschoolswv.com/o/wctc/page/practical-nursing,Not available,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Not available,10:1,100%,Not available,Not available,Not available,Urban,1
